text,label
ngl thisssss is waful 💔,Negative
omg thissss is solid ❤️,Positive
tbh this is great 🥳,Positive
wow amazinggg 😂 totally helpful,Sarcastic
bro this is fantasticcc 😍,Positive
fr this is bad 😤,Negative
yeahhhh sureeeee 🙄 totally helpful,Sarcastic
yeahhhhh sureeeee 🙃 ttoally helpfullll,Sarcastic
fr it was okayyyy 😐,Neutral
bro this is amazing 🥳,Positive
fr this is perfect 😁,Positive
lowekyyy this is pathetic 👎,Negative
idk this is greattttt ❤️,Positive
lowkeyyyy it was normalllll 🤷,Neutral
besttttt ever 🙄 totally helpful,Sarcastic
love that for me 👏 totallyyy helfpul,Sarcastic
fr this is worst 👎,Negative
highkeyyy it was regular 🤷,Neutral
love thattt for me 🙄 totally helpful,Sarcastic
bro it was okay 😐,Neutral
best ever 🙃 totallyyyy helpful,Sarcastic
highkey this is awfullll 💔,Negative
love thattttt for me 🙃 totally helpful,Sarcastic
lowkeyyyy this is solid ❤️,Positive
omg thisss is amazing 🤩,Positive
fr this is awesome 🔥,Positive
lowkeyyy it was fine 🫤,Neutral
highkeyyyy it was regular 🤷,Neutral
highkey thisss is bad 😠,Negative
love that for me 😂 totally helpfulllll,Sarcastic
justtt perfect 😏 ttoally helpful,Sarcastic
tbh thsissss is awful 😒,Negative
tbh this is awesome ✨,Positive
lowkey it was standard 🙂,Neutral
lol this is terribel 👎,Negative
lol thisssss is fantastic 😄,Positive
highkeyyyy this is pathetic 😠,Negative
highekyyyyy thisssss is lit 🔥,Positive
fr this is pathetic 😤,Negative
tbh this is amazingggg 🥳,Positive
omg this is amazing 🤩,Positive
bro it was standardddd 🙂,Neutral
lowkeyyyy it was regular 😐,Neutral
love that for me 😂 totallyyyy helpful,Sarcastic
yeahhh sure 😂 totally helpful,Sarcastic
tbh thisss is bad 😞,Negative
bro this is patheitc 😤,Negative
lol thisssss is great 😄,Positive
best evrerrrr 😏 totalyl helpufl,Sarcastic
lowkey thisss is lit 😄,Positive
fr thissss is perfect 😁,Positive
just perfecttttt 😂 totallyyyy helpful,Sarcastic
tbh it was okay 🤷,Neutral
great job 😂 totally helpfulll,Sarcastic
love that for me 🙃 totally helpful,Sarcastic
best everrr 👏 totally helpful,Sarcastic
love htattt for me 🙄 totally helpfullll,Sarcastic
omg this is annoyinggggg 😞,Negative
just perfect 😂 totallyyyy helpful,Sarcastic
lwokey thissss is awesomeeeee ❤️,Positive
idk this is bad 😒,Negative
ngl it was avearge 🫤,Neutral
ngl it was okay 😐,Neutral
omg it was nomral 🫤,Neutral
lowkey it was fine 🫤,Neutral
highkeyyyyy it was normalll 🙂,Neutral
omg thisssss is awfulll 😠,Negative
olveeee that for me 😒 totally helpful,Sarcastic
tbh this is oslid 😁,Positive
ngl it was standarddddd 🫤,Neutral
bro it was regular 🫤,Neutral
omg it was standarddd 🙂,Neutral
yeah sure 🙃 totally helpfulllll,Sarcastic
highkey it was regular 🫤,Neutral
highkeyyy it was standarddddd 🙂,Neutral
ngl it was okay 🫤,Neutral
lol thisssss is lit ✨,Positive
bro it was fine 🫤,Neutral
love that for me 🙄 totallyyyyy helpfulllll,Sarcastic
lowkey thisssss is perfect 😍,Positive
tbh this is solid 🥳,Positive
highkey this is terrible 😭,Negative
lol this is amazinggggg 🤩,Positive
yeah sure 👏 totally helpfullll,Sarcastic
lowkey this is worst 😠,Negative
lol it was average 🫤,Neutral
highkey this is awful 😠,Negative
idk it was average 🤷,Neutral
bro it was okay 🤷,Neutral
fr this is lit ❤️,Positive
fr this is amazing 😍,Positive
idk this is perfecttt 🔥,Positive
omg this is soliddd ✨,Positive
lol it was averageeeee 🤷,Neutral
wow amazinggggg 🙄 totallyyyy helpful,Sarcastic
idk this is worst 😒,Negative
wow amazing 🙃 totally helpful,Sarcastic
highkey it was normal 🫤,Neutral
omg this is pathetic 😤,Negative
fr it was average 🙂,Neutral
ngl it was average 🤷,Neutral
bro this is patheticcc 😤,Negative
bro this is solid 🤩,Positive
highkey it was fine 🙂,Neutral
tbh it was regularrrr 🤷,Neutral
omg thisss is great 🥳,Positive
fr it was fine 😐,Neutral
greattttt job 👏 totally ehlpful,Sarcastic
fr thisss is worts 💔,Negative
lol it was standard 🤷,Neutral
love that for me 😏 totally helpful,Sarcastic
idk it was okay 😐,Neutral
wow amazingggg 😂 totallyyyyy helpful,Sarcastic
love thattttt for me 😒 totally helpflu,Sarcastic
love thatttt for me 👏 totally helpfulllll,Sarcastic
fr this is trashhh 😒,Negative
bro this is worst 😞,Negative
omg it was average 😐,Neutral
bro this is wrost 💔,Negative
fr thisssss is ptahetic 😭,Negative
love that for me 👏 totally helpfulll,Sarcastic
just perfecttttt 😏 ottally helpfullll,Sarcastic
lol this is awful 💔,Negative
lol it was normal 🤷,Neutral
omg thisssss is bad 😭,Negative
tbh it was aevrage 😐,Neutral
lowkey this is pathetcicc 👎,Negative
lol thisss is greta 🥳,Positive
idk this is awfulllll 😤,Negative
lol thisss is etrrible 💔,Negative
wow amazing 😒 totally ehlpful,Sarcastic
omg it was normallll 🫤,Neutral
lowkey this is pathetic 💔,Negative
tbh thisss is awesome ❤️,Positive
ngl this is bad 😒,Negative
yeahhhhh sure 👏 totally helpfulll,Sarcastic
lowkeyyyy thissss is pathetic 😒,Negative
highkey it was normal 🤷,Neutral
higkhey this is great 🥳,Positive
tbh this is lit 😁,Positive
tbh it was vaerageeeee 🙂,Neutral
bro this is lit ❤️,Positive
just perfect 😂 totally helpful,Sarcastic
hgihkey this is awful 😠,Negative
fr it was okay 🤷,Neutral
highkey it was average 🤷,Neutral
fr this is awesomeee ✨,Positive
wow amazing 🙄 totlaly helpful,Sarcastic
yeah sure 😂 totally helpful,Sarcastic
bro this is annoyingggg 😞,Negative
lol this is worstttt 😞,Negative
omg this is afwul 💔,Negative
bro thisssss is perfecttttt 🥳,Positive
highkey it was okay 😐,Neutral
bro this is bad 👎,Negative
bro it was regular 🤷,Neutral
loveeeee that for me 👏 totally helpful,Sarcastic
lol thissss is awesome 🤩,Positive
just perfect 🙄 totally helpfullll,Sarcastic
omg it was normal 🙂,Neutral
bro this is terribleeeee 😞,Negative
yeah sure 🙃 totally helpful,Sarcastic
bro thissss is awesome 😁,Positive
tbh this is pathetic 👎,Negative
yeah sure 😏 totallyyyyy helpfulll,Sarcastic
lol this is soldi ❤️,Positive
fr it was okay 🫤,Neutral
omg thisss is perfect 🤩,Positive
great job 🙃 totally helpful,Sarcastic
yeah sure 😂 ottallyyyy helpful,Sarcastic
lowkeyyy it was normalll 🫤,Neutral
omg it was average 🙂,Neutral
omg it was standard 🙂,Neutral
best everrr 👏 totallyyy helpful,Sarcastic
tbh this is awfulllll 😡,Negative
fr it was normal 😐,Neutral
lol this is awful 👎,Negative
lol this is annoying 😠,Negative
bro this is solidddd 🤩,Positive
lol thisss is wosrt 😒,Negative
best evrerrr 👏 totallyyyy helpfulllll,Sarcastic
higheky thisss is annoying 😭,Negative
lol this is worst 💔,Negative
tbh this is bad 😞,Negative
love thatttt for me 🙄 totally helpful,Sarcastic
bro this is lit 😍,Positive
ngl this is trash 😤,Negative
yeah sureeee 😒 totally helpful,Sarcastic
lowkey thisss is greatttt 😍,Positive
fr it was fine 🙂,Neutral
loveee that for me 👏 totally helpful,Sarcastic
omg it was normal 😐,Neutral
idk this is worst 😡,Negative
bro thisss is soliddd 😁,Positive
yeah sureeeee 🙄 totally helpful,Sarcastic
yeah sureeeee 😒 totally helpful,Sarcastic
omg this is worst 😤,Negative
omg it was fnieeee 🤷,Neutral
lol thisss is fantastic ✨,Positive
lol it was regularrrrr 🤷,Neutral
fr thisss is annoyinggggg 😤,Negative
highkeyyyyy thisss is aweosme ❤️,Positive
greatttt job 😒 totallyyyy helpfulll,Sarcastic
greatttt job 😒 totally heplful,Sarcastic
omg thisss is worsttt 😞,Negative
highkeyyyyy it was normal 🫤,Neutral
omg it was normalll 🫤,Neutral
tbh it was regular 🤷,Neutral
bro htissss is perfecttt 🥳,Positive
omg it was fine 🫤,Neutral
highkey it was tsandard 🫤,Neutral
lowkey it was fineee 🫤,Neutral
great job 😒 totally helpful,Sarcastic
just perfect 🙄 totally ehlpful,Sarcastic
idk it was normal 🙂,Neutral
bro this is fantastic ✨,Positive
yeah sureeee 😂 totally helpful,Sarcastic
omg this is perfect 😄,Positive
just perfcet 🙃 totally helpfullll,Sarcastic
besttt ever 😒 totally helpfulllll,Sarcastic
justtt perfect 🙄 totally helpful,Sarcastic
omg it was fineee 🙂,Neutral
omg thisssss is soliddd ❤️,Positive
loveeee thattttt for me 😏 totally ehlpful,Sarcastic
lowkey this is soliddd ❤️,Positive
omg this is prefecttt 😄,Positive
omg this is annoying 😭,Negative
idk it was okay 🫤,Neutral
wow amazingggg 😏 totallyyyyy helpfulll,Sarcastic
wow amazing 🙃 totallyyyy helpful,Sarcastic
bro thisss is awful 😭,Negative
tbh this is awfullll 😠,Negative
ngl this is awesomeee ✨,Positive
lol it was normal 🙂,Neutral
highkey thissss is bad 👎,Negative
fr it was standarddd 🤷,Neutral
ngl this is awesome 🔥,Positive
idk it was regular 🙂,Neutral
fr thisssss is amazing 😁,Positive
just perfect 🙃 totally helpful,Sarcastic
bro thisss is worst 💔,Negative
lol this is trashhhh 👎,Negative
yeah sureeeee 😂 totally helpful,Sarcastic
lol it was fine 🤷,Neutral
fr thissss is perfecttt 🔥,Positive
tbh this is worst 💔,Negative
idk this is awesome 🤩,Positive
idk this is lit 🥳,Positive
loveeeee that for me 👏 totally helpfulllll,Sarcastic
lowkeyyyy it was standarddd 🙂,Neutral
lowkeyyy this is pathetic 😒,Negative
love that for me 🙃 totalyl helpful,Sarcastic
highkey this is solid ❤️,Positive
ngl this is awfullll 😠,Negative
omg it was normlall 🫤,Neutral
bro thisss is fantastic ✨,Positive
tbh it was normal 🙂,Neutral
lol it was okayyyyy 😐,Neutral
omg it was reuglar 🙂,Neutral
fr this is bad 👎,Negative
lol this is fantasitccccc 🥳,Positive
yeahhh sureeee 🙄 totally helpfullll,Sarcastic
wow amazinggg 😂 toatlly helpful,Sarcastic
idk thisss is perfecttt ✨,Positive
tbh this is lit 🔥,Positive
bro this is annoying 😡,Negative
highkey this is amazinggg 🤩,Positive
lol this is terrible 💔,Negative
fr thisss is awesome 😁,Positive
omg thissss is annoying 😞,Negative
highkeyyy this is bad 😠,Negative
ngl this is trahshhhh 😤,Negative
lowkey this is fantastic 😍,Positive
lol thissss is terribleeee 😠,Negative
tbh this is awesmoe ✨,Positive
bsettttt ever 😂 totally helpfulll,Sarcastic
bro thisss is awesome ✨,Positive
bro this is annoyinggg 😞,Negative
tbh thissss is fantastic ❤️,Positive
lol this is amazing 🥳,Positive
lol this is terrible 😞,Negative
idk it was fineeee 🫤,Neutral
fr this is pathetci 😤,Negative
idk thisssss is bad 😞,Negative
bestttt ever 😏 totally helpful,Sarcastic
omg this is bad 😒,Negative
tbh this is trashhhh 😒,Negative
ngl this is terribleeeee 😞,Negative
loveee thatttt for me 🙄 totally helpful,Sarcastic
yeahhhhh sure 😂 totally helpful,Sarcastic
tbh it was average 😐,Neutral
wow amazing 🙃 totally ehlpful,Sarcastic
best ever 😂 totally helpful,Sarcastic
yeah sureee 👏 totlaly helpful,Sarcastic
wow amazingggg 😏 totally helpful,Sarcastic
fr it was standard 🫤,Neutral
lowkeyyyyy it was standard 🙂,Neutral
higheky thisssss is lit 🔥,Positive
tbh thisssss is patheticcc 😒,Negative
just perfect 😏 totally helpfullll,Sarcastic
bro this is fantatsiccc ❤️,Positive
lowkeyyy this is aewsome 😍,Positive
fr this is perfectttt 🥳,Positive
olwkey it was regular 🫤,Neutral
best ever 🙄 totally helpful,Sarcastic
fr this is worst 😠,Negative
omg it was standarddddd 😐,Neutral
bro this is annoying 😭,Negative
omg thisssss is pathetic 😡,Negative
besttttt everrrrr 👏 totally helpful,Sarcastic
highkeyyyyy it was regular 😐,Neutral
yeah sureee 😏 totallyyyyy helpfulll,Sarcastic
love that for me 👏 totally helpful,Sarcastic
omg it was standarddd 😐,Neutral
best ever 👏 totallyyyyy helpful,Sarcastic
yeah sure 😒 totally helpfulllll,Sarcastic
omg it was standarddd 🫤,Neutral
tbh thisssss is waful 😡,Negative
ngl thisssss is lit 😁,Positive
bro this is solid ✨,Positive
lowkey this is amazing ❤️,Positive
omg thissss is graet 😍,Positive
tbh thisssss is lit 🤩,Positive
tbh thisssss is amazingggg ❤️,Positive
bro this is awesome 🥳,Positive
idk it was normla 🤷,Neutral
omg this is annoying 😒,Negative
tbh this is amazingggg ❤️,Positive
idk this is trash 😤,Negative
fr htisss is awful 😠,Negative
idk this is lit 😄,Positive
bro this is awful 😒,Negative
just perfecttt 🙄 totallyyy helpfulllll,Sarcastic
lowkey thisssss is pathetic 😞,Negative
love that for me 😂 totlaly helpful,Sarcastic
lowkey it was regular 🤷,Neutral
omg it was regular 🫤,Neutral
tbh it was fine 😐,Neutral
yeah sureeee 😏 toatllyyyyy heplful,Sarcastic
lowkeyyyy thisssss is annoying 😠,Negative
great job 😒 totallyyyy helpful,Sarcastic
just perfetcttt 👏 totally helpful,Sarcastic
great job 😒 toatlly helpful,Sarcastic
highkeyyyy it was average 🙂,Neutral
greta job 👏 totally helpufl,Sarcastic
fr thissss is fantasticcccc 😍,Positive
ngl it was average 🫤,Neutral
omg it was okayyy 🫤,Neutral
bro this is great 🔥,Positive
hihgkey this is awseome 😍,Positive
ngl this is perefct ✨,Positive
highkeyyyyy thisss is bad 😡,Negative
wow amazing 🙄 totally helpful,Sarcastic
fr this is bad 😠,Negative
lol it was regular 🤷,Neutral
bro thisss is perfcettttt 😄,Positive
fr it was okay 😐,Neutral
highkey this is soliddddd 😍,Positive
omg it was okay 🤷,Neutral
great job 😒 totally helpfullll,Sarcastic
omg it was regular 🙂,Neutral
fr it was standardddd 😐,Neutral
tbh this is solid 😄,Positive
ngl thisssss is patheticccc 😠,Negative
bro this is tarsh 😠,Negative
wow amazing 😂 totallyyyy helpful,Sarcastic
bro it was fineeee 🙂,Neutral
fr this is perfecttt 🤩,Positive
lowkeyyy it was regular 🤷,Neutral
highkey thisss is patheticcccc 😭,Negative
yeah sureee 😒 totally helfpul,Sarcastic
lowkeyyy it was standard 😐,Neutral
lol this is perfect 🥳,Positive
loveee that for me 😂 totally helpful,Sarcastic
tbh it was regularrrr 🙂,Neutral
wow amazing 😏 totally helpful,Sarcastic
omg this is amazinggggg 😄,Positive
great job 😂 totallyyyyy helpful,Sarcastic
omg thissss is fantastic ✨,Positive
omg this is bad 😠,Negative
omg thisss is trash 💔,Negative
gerat job 🙃 totally helpfulll,Sarcastic
tbh this is awful 👎,Negative
justtttt perfect 🙄 ottally helpful,Sarcastic
fr this is annoying 😒,Negative
lol it was normla 😐,Neutral
bro thissss is worstttt 😡,Negative
ngl it was fine 😐,Neutral
lol thisssss is bad 👎,Negative
idk it was normallll 🤷,Neutral
lol it was okayyyyy 🫤,Neutral
yeah sure 🙄 totally helpful,Sarcastic
ngl this is lit ❤️,Positive
lowkey it was averageeeee 🫤,Neutral
idk thissss is annoying 😞,Negative
highkye thissss is lit 🤩,Positive
highkeyyy thissss is terribleeee 👎,Negative
wow amazingggg 🙄 totally helpful,Sarcastic
idk this is worsttttt 😡,Negative
ngl this is annoying 😭,Negative
fr it was standard 🙂,Neutral
loveeee thtatt for me 😏 totally helpufl,Sarcastic
loveeee thattt for me 🙃 totally helpful,Sarcastic
idk this is perfect 🤩,Positive
tbh thisssss is patheticccc 💔,Negative
lol this is amazingggg 😄,Positive
ngl this is amazing 🤩,Positive
just perfect 😂 totally helpfulllll,Sarcastic
bro thissss is awful 👎,Negative
highkey this is amazing 🔥,Positive
idk it was fine 😐,Neutral
ngl this is annoyingggg 😒,Negative
lowkey this is bad 💔,Negative
wow maazing 🙄 totallyyy helpfullll,Sarcastic
lol this is perfect 🔥,Positive
idk this is perfect 😄,Positive
yeah sure 🙄 totally ehlpful,Sarcastic
fr this is awful 😭,Negative
highkeyyyy it was okay 😐,Neutral
love that for me 🙄 totally helpful,Sarcastic
idk thisssss is aewsomeee 🤩,Positive
hihgkeyyy htissss is trash 😒,Negative
bro this is perfect 🥳,Positive
ngl thisssss is lit ✨,Positive
omg thissss is annoying 😒,Negative
lowkey this is trash 😤,Negative
omg it was standarddddd 🤷,Neutral
higkhey thisss is trash 😤,Negative
wow amazinggggg 😒 totallyyyyy helpfulllll,Sarcastic
omg thissss is annoying 💔,Negative
yeah sure 👏 totallyyyy helpful,Sarcastic
highkye thissss is awful 😭,Negative
love that for me 😒 totallyyyyy ehlpful,Sarcastic
loveee that for me 😒 totally helpfulllll,Sarcastic
best everrrrr 😂 totallyyyy helpful,Sarcastic
ngl it was normal 😐,Neutral
fr this is soild 😄,Positive
tbh this is fantastic 😁,Positive
bro this is great 🥳,Positive
loweky it was normal 🙂,Neutral
fr it was fineeeee 🙂,Neutral
highkeyyy it was standard 🤷,Neutral
hihgkeyyyyy this is fantastic ❤️,Positive
greattt job 😒 totally helpful,Sarcastic
tbh it was averageee 🤷,Neutral
omg this is solid 🤩,Positive
fr thisssss is pathetic 💔,Negative
justtt perfecttttt 🙃 totallyyy helpfulllll,Sarcastic
highkey it was fineee 🤷,Neutral
fr this is annoying 😡,Negative
yeah sureee 😒 totlaly helpfulllll,Sarcastic
omg it was fine 😐,Neutral
lowkey this is annoying 😡,Negative
ngl thissss is worst 😞,Negative
besttt ever 😒 totally helpful,Sarcastic
tbh thissss is perfecttttt ✨,Positive
omg thissss is awesome 😍,Positive
fr thisssss is annoyigngg 😭,Negative
lol this is worst 😒,Negative
besttt everrr 🙄 totally helpfulllll,Sarcastic
lowkey this is awesomeee 🔥,Positive
fr this is great 🔥,Positive
greattttt job 🙄 totallyyyyy helpfulll,Sarcastic
yehahh sure 😏 totally helpflu,Sarcastic
great job 😏 totally helpfulll,Sarcastic
just perfect 🙄 totally helpful,Sarcastic
yeahhhhh sure 👏 totally helpful,Sarcastic
idk this is lit 😁,Positive
best ever 👏 totallyyyy hlepful,Sarcastic
ngl thisss is amazing 🥳,Positive
loveeeee thattttt for me 🙃 totallyyy helpfullll,Sarcastic
ngl this is terrible 😭,Negative
great job 😏 totally helpfullll,Sarcastic
fr this is awesome 😄,Positive
ngl this is amaznig 🥳,Positive
olwkeyyy it was standard 🫤,Neutral
ngl this is solid ❤️,Positive
fr it was averageee 😐,Neutral
tbh it was average 🙂,Neutral
omg it was okay 😐,Neutral
yeah sure 😏 totally helpfulll,Sarcastic
lol this is solid 🔥,Positive
highkey it was averageeee 🙂,Neutral
fr it was standarddddd 🫤,Neutral
great job 😂 totally helpful,Sarcastic
bro it was normallll 😐,Neutral
lol this is greta ❤️,Positive
highkey this is solid 🥳,Positive
tbh it was okayyyyy 🙂,Neutral
highkey thissss is terrible 😒,Negative
love thatttt for me 🙄 totallyyyy helpful,Sarcastic
lol this is awesomeee 😁,Positive
best ever 😏 totally helpuflll,Sarcastic
lowkey it was average 😐,Neutral
lol thisssss is pathetic 😞,Negative
lowkey this is amazing 🤩,Positive
omg this is solid 🥳,Positive
best ever 👏 totallyyyy helfpul,Sarcastic
idk it was regular 🤷,Neutral
bro it was regularrr 🫤,Neutral
omg it was normalllll 🫤,Neutral
lol thisssss is awesomeee ❤️,Positive
lowkey it was noraml 🫤,Neutral
tbh it was standard 🤷,Neutral
omg thissss is lit 🔥,Positive
yeah sure 🙃 totallyyy helpful,Sarcastic
fr this is amazinggggg 🤩,Positive
justttt perfect 🙃 ttoallyyy helpfullll,Sarcastic
justttt perfect 😒 totlalyyyyy helpful,Sarcastic
just perfecttttt 👏 totally helpfullll,Sarcastic
ngl this is fantasticcccc 😁,Positive
lol it was average 🤷,Neutral
ngl this is lit 🔥,Positive
lol this is tarsh 😤,Negative
higkhey this is awesomeeeee 😍,Positive
lowkey this is awesomeee 😁,Positive
jutsttt perfecttttt 😂 totallyyyy helpful,Sarcastic
ngl this is amazingggg ❤️,Positive
fr this is pathetic 👎,Negative
idk this is amazing 🔥,Positive
greatttt job 🙄 totally helpful,Sarcastic
idk this is soliddddd 😄,Positive
tbh it was okay 😐,Neutral
lol it was oakyyy 😐,Neutral
ngl thissss is perfect ❤️,Positive
highkey it was standard 🤷,Neutral
ngl this is lit 😁,Positive
fr it was standarddddd 🙂,Neutral
bro tihssss is soliddd 😄,Positive
fr this is awesome ✨,Positive
fr this is worstttt 👎,Negative
idk it was standarddddd 🫤,Neutral
yeah sure 🙄 totallyyy helpfulll,Sarcastic
great job 🙄 totally helpful,Sarcastic
lol it was normalllll 🤷,Neutral
omg this is amazingggg 😍,Positive
ngl this is solid 😁,Positive
tbh this is awful 😒,Negative
idk thissss is bad 💔,Negative
bro this is fantastic 😍,Positive
fr it was okayyy 🙂,Neutral
loveeee that for me 😒 totally helpful,Sarcastic
highkey it was regularrrrr 😐,Neutral
omg this is awflulll 😒,Negative
lowkeyyyy thissss is amazing 😁,Positive
fr thissss is great ❤️,Positive
best ever 👏 totally helpfulll,Sarcastic
love that for me 😏 totallyyy helpful,Sarcastic
omg thisss is worst 😞,Negative
fr it was average 🫤,Neutral
bro it was okay 🙂,Neutral
yeah sure 😒 toatlly helpfullll,Sarcastic
love that for me 😒 totally helpful,Sarcastic
ngl this is trash 😭,Negative
bro thisssss is solid 🤩,Positive
bro it was standarddddd 🤷,Neutral
lol this is geratttt ✨,Positive
great job 🙄 totallyyyyy helpful,Sarcastic
tbh this is greattttt 🥳,Positive
fr thisss is awesome ✨,Positive
lowkey this is terribeleee 😡,Negative
lol it was avergae 🤷,Neutral
idk this is annoying 😠,Negative
lowkey thisssss is waesome 😍,Positive
yeahhh sure 🙃 totally helpful,Sarcastic
highkeyyyyy it was average 🙂,Neutral
tbh this is awful 😡,Negative
idk this is awesmoe ❤️,Positive
lol this is annoying 😤,Negative
lowkey it was stanadrd 🙂,Neutral
fr this is terribleee 👎,Negative
fr this is terrible 😠,Negative
idk this is awesome 🥳,Positive
rgeattttt job 🙃 totally helpfullll,Sarcastic
fr thisss is perfect 🔥,Positive
love that for me 🙄 totally helpfulll,Sarcastic
tbh this is bad 😒,Negative
lowkeyyy this is annoying 👎,Negative
ngl this is trashhh 😒,Negative
bro this is perfect 🤩,Positive
lowkey this is pathetic 😒,Negative
lol this is perfect ❤️,Positive
omg this is pahtetic 😭,Negative
ngl it was okay 🙂,Neutral
lowkyeyyyy thissss is great ❤️,Positive
highkey this is soliddddd 🔥,Positive
besttttt ever 😏 totally helpful,Sarcastic
bro this is annoiyng 👎,Negative
fr it was normal 🙂,Neutral
bro this is awesomeeeee ❤️,Positive
bro this is worstttt 😠,Negative
ngl this is prefect 🥳,Positive
love thattttt for me 👏 totally helfpul,Sarcastic
highkeyyyy this is awesome 🥳,Positive
yeah srueeee 😂 totally helfpul,Sarcastic
omg it was okay 🙂,Neutral
best everrrr 😏 totally helpflu,Sarcastic
idk it was normlalll 🫤,Neutral
lol this is lit ❤️,Positive
lowkey it was normla 🙂,Neutral
wow amazinggg 🙃 totallyyy helpful,Sarcastic
ngl this is bad 😤,Negative
lol this is awful 😒,Negative
ngl it was normalll 🤷,Neutral
bro this is perfect 😁,Positive
bro this is soldi 😁,Positive
highkey it was regularrrr 😐,Neutral
justttt prefect 👏 totally hlepful,Sarcastic
idk thissss is awesome 🤩,Positive
justtttt perfect 🙃 totally helpful,Sarcastic
rgeattt job 🙄 totally helpful,Sarcastic
